40;40,00;27,00;27,00;33,00;34,00;36,00;37,00;65,00;64,00;41,00;42,00;96,00;98,00;94,00;114,00;88,00;0,77;32,00;0,00;0,00;0,00;0,00;97,00
41;41,00;28,00;30,00;35,00;35,00;39,00;38,00;66,00;73,00;42,00;43,00;106,00;107,00;111,00;137,00;103,00;0,75;41,00;0,00;0,00;0,00;0,00;123,00
42;42,00;27,00;27,00;28,00;30,00;33,00;33,00;58,00;58,00;39,00;40,00;105,00;107,00;102,00;113,00;94,00;0,83;41,00;0,00;0,00;0,00;0,00;115,00
43;43,00;30,00;32,00;35,00;35,00;39,00;40,00;57,00;57,00;40,00;40,00;113,00;118,00;120,00;114,00;103,00;0,90;47,00;0,00;0,00;0,00;0,00;129,00
44;44,00;24,00;24,00;27,00;27,00;29,00;29,00;45,00;45,00;35,00;35,00;101,00;106,00;96,00;95,00;91,00;0,96;34,00;0,00;0,00;0,00;0,00;101,00
45;45,00;28,00;29,00;33,00;33,00;34,00;34,00;62,00;66,00;42,00;41,00;105,00;105,00;104,00;120,00;94,00;0,78;37,00;0,00;0,00;0,00;0,00;113,00
46;46,00;31,00;32,00;34,00;36,00;36,00;38,00;60,00;60,00;42,00;41,00;110,00;112,00;104,00;11,00;92,00;8,36;34,00;0,00;0,00;0,00;0,00;126,00
47;47,00;31,00;31,50;36,00;35,00;40,00;40,00;59,00;60,00;39,00;39,00;109,00;113,00;94,00;105,00;99,00;0,94;41,50;0,00;0,00;0,00;0,00;125,00
48;48,00;28,00;28,00;34,00;34,00;36,00;36,00;58,00;57,00;40,00;40,00;95,00;97,00;97,00;101,00;93,00;0,92;35,00;0,00;0,00;0,00;0,00;111,00
49;49,00;24,00;25,00;29,00;29,00;31,00;30,00;56,00;55,00;35,00;35,00;103,00;108,00;98,00;104,00;89,00;0,86;35,00;0,00;0,00;0,00;0,00;116,00
50;50,00;27,00;27,00;32,00;32,00;34,00;34,00;61,00;61,00;42,00;42,00;91,00;93,00;83,00;104,00;81,00;0,78;35,00;0,00;0,00;0,00;0,00;99,00
51;51,00;33,00;33,00;37,00;37,00;43,00;43,00;72,00;71,00;46,00;47,00;116,00;118,00;112,00;127,00;103,00;0,81;45,00;0,00;0,00;0,00;0,00;133,00
52;52,00;22,00;21,00;23,00;23,00;25,00;25,00;47,00;47,00;32,00;31,00;77,00;79,00;74,00;95,00;73,00;0,77;30,00;0,00;0,00;0,00;0,00;93,00
53;53,00;27,00;27,00;29,00;30,00;31,00;32,00;59,00;57,00;38,00;38,00;102,00;103,00;96,00;105,00;88,00;0,84;35,00;0,00;0,00;0,00;0,00;111,00
54;54,00;30,50;30,50;35,50;35,50;37,50;37,50;61,00;64,00;40,00;39,00;110,00;113,00;104,00;108,00;98,00;0,91;40,00;0,00;0,00;0,00;0,00;123,00
55;55,00;25,00;25,00;35,00;36,00;36,00;37,00;59,00;58,00;36,00;36,00;105,00;107,00;109,00;115,00;106,00;0,92;40,00;0,00;0,00;0,00;0,00;111,00
56;56,00;23,00;23,00;25,00;25,00;26,00;26,00;46,00;48,00;34,00;34,00;81,00;83,00;68,00;91,00;67,00;0,74;33,00;0,00;0,00;0,00;0,00;88,00
57;57,00;25,00;26,00;29,00;29,00;31,00;31,00;55,00;54,00;39,00;39,00;96,00;98,00;101,00;108,00;94,00;0,87;34,00;0,00;0,00;0,00;0,00;105,00
58;58,00;25,00;25,00;31,00;31,00;33,00;33,00;55,00;55,00;38,00;37,00;97,00;98,00;95,00;98,00;56,00;0,57;35,00;13,00;9,00;11,00;6,00;101,00
