path,size,type,confidence,reason
public/assets/css/fusion-v3-layout.css,2129,text,medium,frontend asset not referenced by HTML/CSS/JS
public/assets/css/fusion-v3-responsive.css,1000,text,medium,frontend asset not referenced by HTML/CSS/JS
public/assets/css/fusion-v3-variables.css,460,text,medium,frontend asset not referenced by HTML/CSS/JS
public/assets/exercicios/flash/001.gif,145336,asset,high,asset without textual reference
public/assets/exercicios/flash/002.gif,201475,asset,high,asset without textual reference
public/assets/exercicios/flash/003.gif,153893,asset,high,asset without textual reference
public/assets/exercicios/flash/004.gif,195454,asset,high,asset without textual reference
public/assets/exercicios/flash/005.gif,178425,asset,high,asset without textual reference
public/assets/exercicios/flash/006.gif,143330,asset,high,asset without textual reference
public/assets/exercicios/flash/007.gif,247746,asset,high,asset without textual reference
public/assets/exercicios/flash/008.gif,126864,asset,high,asset without textual reference
public/assets/exercicios/flash/009.gif,170132,asset,high,asset without textual reference
public/assets/exercicios/flash/010.gif,154334,asset,high,asset without textual reference
public/assets/exercicios/flash/011.gif,136130,asset,high,asset without textual reference
public/assets/exercicios/flash/012.gif,251893,asset,high,asset without textual reference
public/assets/exercicios/flash/013.gif,120561,asset,high,asset without textual reference
public/assets/exercicios/flash/014.gif,89303,asset,high,asset without textual reference
public/assets/exercicios/flash/015.gif,119086,asset,high,asset without textual reference
public/assets/exercicios/flash/016.gif,113883,asset,high,asset without textual reference
public/assets/exercicios/flash/017.gif,98728,asset,high,asset without textual reference
public/assets/exercicios/flash/018.gif,89345,asset,high,asset without textual reference
public/assets/exercicios/flash/019.gif,130434,asset,high,asset without textual reference
public/assets/exercicios/flash/020.gif,182268,asset,high,asset without textual reference
public/assets/exercicios/flash/021.gif,244567,asset,high,asset without textual reference
public/assets/exercicios/flash/022.gif,164877,asset,high,asset without textual reference
public/assets/exercicios/flash/023.gif,182881,asset,high,asset without textual reference
public/assets/exercicios/flash/024.gif,219505,asset,high,asset without textual reference
public/assets/exercicios/flash/025.gif,144211,asset,high,asset without textual reference
public/assets/exercicios/flash/026.gif,131928,asset,high,asset without textual reference
public/assets/exercicios/flash/027.gif,126907,asset,high,asset without textual reference
public/assets/exercicios/flash/028.gif,147141,asset,high,asset without textual reference
public/assets/exercicios/flash/029.gif,148352,asset,high,asset without textual reference
public/assets/exercicios/flash/030.gif,160316,asset,high,asset without textual reference
public/assets/exercicios/flash/031.gif,141912,asset,high,asset without textual reference
public/assets/exercicios/flash/032.gif,95171,asset,high,asset without textual reference
public/assets/exercicios/flash/033.gif,94358,asset,high,asset without textual reference
public/assets/exercicios/flash/034.gif,92965,asset,high,asset without textual reference
public/assets/exercicios/flash/035.gif,96976,asset,high,asset without textual reference
public/assets/exercicios/flash/036.gif,99834,asset,high,asset without textual reference
public/assets/exercicios/flash/037.gif,112695,asset,high,asset without textual reference
public/assets/exercicios/flash/038.gif,117962,asset,high,asset without textual reference
public/assets/exercicios/flash/039.gif,84953,asset,high,asset without textual reference
public/assets/exercicios/flash/040.gif,113786,asset,high,asset without textual reference
public/assets/exercicios/flash/041.gif,140691,asset,high,asset without textual reference
public/assets/exercicios/flash/042.gif,84477,asset,high,asset without textual reference
public/assets/exercicios/flash/043.gif,103496,asset,high,asset without textual reference
public/assets/exercicios/flash/044.gif,116901,asset,high,asset without textual reference
public/assets/exercicios/flash/045.gif,147710,asset,high,asset without textual reference
public/assets/exercicios/flash/046.gif,95933,asset,high,asset without textual reference
public/assets/exercicios/flash/047.gif,88641,asset,high,asset without textual reference
public/assets/exercicios/flash/048.gif,104867,asset,high,asset without textual reference
public/assets/exercicios/flash/049.gif,119418,asset,high,asset without textual reference
public/assets/exercicios/flash/050.gif,123556,asset,high,asset without textual reference
public/assets/exercicios/flash/051.gif,126276,asset,high,asset without textual reference
public/assets/exercicios/flash/052.gif,102030,asset,high,asset without textual reference
public/assets/exercicios/flash/053.gif,142586,asset,high,asset without textual reference
public/assets/exercicios/flash/054.gif,98548,asset,high,asset without textual reference
public/assets/exercicios/flash/055.gif,178501,asset,high,asset without textual reference
public/assets/exercicios/flash/056.gif,172118,asset,high,asset without textual reference
public/assets/exercicios/flash/057.gif,171403,asset,high,asset without textual reference
public/assets/exercicios/flash/058.gif,78710,asset,high,asset without textual reference
public/assets/exercicios/flash/059.gif,110786,asset,high,asset without textual reference
public/assets/exercicios/flash/060.gif,139360,asset,high,asset without textual reference
public/assets/exercicios/flash/061.gif,79881,asset,high,asset without textual reference
public/assets/exercicios/flash/062.gif,89424,asset,high,asset without textual reference
